genome	S_alg	k	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
yeast	greedytigs	31	0.78	0.01	0.77	100%	11836	0	22752	0.792765
human	eulertigs	61	283.47	3.99	279.23	99%	3652688	600	5793784	283.482189
sars-cov-2-pangenome	unitigs	51	14.65	25.09	64.33	610%	2090680	0	763352	14.657056
spneumo-pangenome	greedytigs	17	3.69	0.19	3.61	103%	280988	0	19112	3.697006
yeast	unitigs	22	11.13	11.95	70.30	738%	644772	0	1040424	11.141226
spneumo-pangenome	unitigs	29	21.86	37.75	78.10	529%	2301064	0	1066776	21.864509
salmonella_enterica.k32	unitigs	11	32.88	191.66	80.90	828%	1635072	0	2429232	32.88953
spneumo-pangenome	greedytigs	31	3.55	0.08	3.30	95%	233044	0	26048	3.554413
salmonella_enterica.k32	greedytigs	16	86.11	2.66	138.63	164%	7455716	0	181392	86.118824
spneumoniae	prophasm	19	1.83	0.03	1.79	99%	112492	0	4320	1.837156
yeast	unitigs	21	11.50	14.23	75.86	783%	655232	6880	1058848	11.505435
sars-cov-2-pangenome	unitigs	14	23.17	128.56	54.22	788%	550448	0	1210720	23.179484
neisseria_gonorrhoeae.pangenome.k32	unitigs	21	22.59	21.25	140.04	713%	745468	0	2286784	22.598647
neisseria_gonorrhoeae.pangenome.k32	eulertigs	19	3.83	0.12	3.70	99%	159668	0	55512	3.838715
spneumo-pangenome	unitigs	17	15.86	49.71	63.08	710%	641556	0	990112	15.873189
spneumoniae	prophasm	16	1.84	0.03	1.80	99%	112108	1256	4464	1.845015
yeast	eulertigs	21	0.87	0.01	0.85	99%	13440	0	22856	0.883818
sars-cov-2-pangenome	prophasm	20	10.70	0.14	10.55	99%	331724	0	30608	10.705257
minikraken4GB	eulertigs	14	721.56	14.83	615.32	87%	27156688	3096	269688	721.570986
yeast	greedytigs	15	9.48	0.39	10.46	114%	770860	0	22688	9.491155
yeast	eulertigs	9	0.41	0.02	0.38	99%	29452	0	264	0.415605
salmonella_enterica.k32	eulertigs	21	30.29	0.84	29.39	99%	1401876	0	240880	30.29686
spneumo-pangenome	matchtigs	41	1.79	0.09	1.70	100%	137124	0	28344	1.798166
spneumoniae	prophasm	14	1.85	0.04	1.80	99%	110172	0	5688	1.860297
yeast	unitigs	19	12.38	15.01	77.23	745%	648112	0	1101888	12.384723
spneumo-pangenome	matchtigs	61	2.09	0.27	1.73	95%	116232	0	24520	2.102434
yeast	matchtigs	28	1.02	0.05	0.92	95%	17316	3888	24904	1.025106
escherichia_coli.k32	eulertigs	23	44.97	0.87	43.99	99%	2192940	0	421616	44.976161
spneumoniae	unitigs	61	80.67	63.36	35.86	123%	9443440	1256	426584	80.67421
sars-cov-2-pangenome	prophasm	16	9.00	0.09	8.89	99%	233840	0	24776	9.00685
spneumoniae	matchtigs	28	0.20	0.01	0.20	101%	7500	0	4968	0.213059
streptococcus_pneumoniae-large	prophasm	17	89.28	1.01	88.21	99%	2748340	0	185608	89.286813
sars-cov-2-pangenome	greedytigs	16	7.14	0.18	12.00	170%	468428	0	16792	7.145441
yeast	prophasm	25	13.21	0.19	13.01	99%	478344	0	23232	13.22327
sars-cov-2-pangenome	eulertigs	22	5.29	0.17	5.11	99%	290692	0	33016	5.295609
salmonella_enterica.k32	prophasm	10	34.66	0.06	34.52	99%	45056	0	1136	34.665293
escherichia_coli.k32	greedytigs	11	23.17	0.85	62.60	273%	920076	0	4104	23.179619
streptococcus_pneumoniae-large	greedytigs	10	5.61	0.14	4.72	86%	189424	0	1032	5.617053
minikraken4GB	prophasm	14	1743.17	13.25	1707.55	98%	5819748	6117848	287256	1743.177209
salmonella_enterica.k32	unitigs	9	8.88	12.73	33.13	516%	1854136	0	1043568	8.889951
spneumoniae	greedytigs	13	4.26	0.07	4.19	100%	278776	0	4248	4.264909
neisseria_gonorrhoeae.pangenome.k32	prophasm	22	34.68	0.61	34.05	99%	1355144	0	56944	34.693382
spneumoniae	unitigs	31	3.49	3.40	13.77	492%	238104	0	183200	3.494672
salmonella_enterica.k32	greedytigs	21	26.48	1.12	28.86	113%	2145356	0	205944	26.493078
neisseria_gonorrhoeae.pangenome.k32	greedytigs	41	3.87	0.09	3.78	99%	188548	0	64848	3.881635
minikraken8GB	unitigs	31	9441.66	59806.18	19122.58	835%	37601412	15480912	318067560	9441.705653
sars-cov-2-pangenome	eulertigs	23	5.22	0.15	5.06	99%	296488	0	34608	5.227162
yeast	matchtigs	20	3.96	0.07	3.92	100%	110740	0	48376	3.965665
minikraken4GB	greedytigs	10	4.80	0.14	4.78	102%	217668	3240	1032	4.809223
spneumo-pangenome	unitigs	19	14.74	35.19	59.95	645%	584976	0	955800	14.751837
spneumo-pangenome	eulertigs	31	3.18	0.11	3.06	99%	153860	0	30664	3.185315
spneumoniae	unitigs	25	17.28	14.22	19.85	197%	750468	0	210568	17.290134
neisseria_gonorrhoeae.pangenome.k32	prophasm	19	37.90	1.35	36.51	99%	977604	0	56528	37.906774
sars-cov-2-pangenome	unitigs	18	18.90	61.55	56.38	623%	605664	0	1048216	18.909262
spneumo-pangenome	unitigs	41	16.05	14.61	79.03	583%	2128476	0	987840	16.059894
human	greedytigs	11	20.38	0.33	19.85	99%	737888	658712	4104	20.389085
neisseria_gonorrhoeae.pangenome.k32	greedytigs	21	4.99	0.13	3.49	72%	200912	0	53168	5.000546
escherichia_coli.k32	greedytigs	13	18778.46	15.43	22623.85	120%	11619908	0	64624	18778.473177
sars-cov-2-pangenome	eulertigs	18	5.53	0.35	5.16	99%	279656	0	26792	5.540902
spneumoniae	greedytigs	28	0.17	0.00	0.17	101%	5312	0	4224	0.180971
streptococcus_pneumoniae-large	unitigs	14	365.27	2760.54	732.79	956%	1379548	0	19626936	365.279909
spneumoniae	unitigs	16	4.52	4.79	16.96	481%	261144	0	232616	4.523934
yeast	matchtigs	25	1.09	0.01	1.03	96%	27988	3888	26784	1.097265
sars-cov-2-pangenome	prophasm	8	0.93	0.01	0.91	100%	24444	0	80	0.938269
neisseria_gonorrhoeae.pangenome.k32	greedytigs	16	15.75	0.90	20.55	136%	1230264	0	51584	15.753747
neisseria_gonorrhoeae.pangenome.k32	prophasm	31	36.56	1.21	35.32	99%	1355272	0	60664	36.565246
human	greedytigs	51	4100.23	5.25	7947.45	193%	7894392	0	5472080	4100.239619
neisseria_gonorrhoeae.pangenome.k32	greedytigs	9	0.35	0.01	0.33	99%	48800	0	264	0.354749
yeast	unitigs	27	17.32	9.53	76.25	495%	1176468	0	928272	17.327233
spneumo-pangenome	eulertigs	18	2.93	0.14	2.79	99%	170972	0	22544	2.941471
yeast	unitigs	17	15.42	23.29	83.72	693%	651448	0	1241720	15.431632
spneumoniae	matchtigs	25	0.23	0.01	0.22	101%	7660	0	5024	0.235289
salmonella_enterica.k32	prophasm	21	134.90	1.49	133.32	99%	3381316	0	245704	134.912648
spneumoniae	matchtigs	15	0.96	0.06	0.91	101%	63040	0	11184	0.973111
sars-cov-2-pangenome	unitigs	41	16.38	22.18	77.85	610%	2122084	0	992976	16.393171
escherichia_coli.k32	eulertigs	10	2.33	0.09	1.83	82%	108872	0	1040	2.334118
spneumoniae	eulertigs	9	0.42	0.02	0.39	99%	29552	0	296	0.423394
streptococcus_pneumoniae-large	unitigs	11	29.50	194.12	65.04	878%	1103140	0	2134584	29.506614
spneumo-pangenome	unitigs	10	8.01	46.66	15.26	772%	393072	9640	445832	8.015993
spneumo-pangenome	eulertigs	11	6.50	0.29	6.18	99%	328372	0	6472	6.512183
spneumo-pangenome	eulertigs	20	3.13	0.19	2.93	99%	168772	0	24032	3.139966
streptococcus_pneumoniae-large	prophasm	14	80.04	1.21	78.78	99%	1550116	0	224904	80.050012
yeast	unitigs	51	15.08	7.21	101.05	717%	1051396	6880	1174728	15.093053
spneumo-pangenome	unitigs	27	22.08	37.48	76.37	515%	2304208	31688	1052248	22.091597
streptococcus_pneumoniae-large	eulertigs	51	11.23	0.33	10.86	99%	499348	0	179880	11.244088
salmonella_enterica.k32	unitigs	31	107.75	220.08	653.10	810%	1162688	0	9912824	107.759212
salmonella_enterica.k32	unitigs	20	128.97	276.68	664.62	729%	1246988	0	9626512	128.977893
sars-cov-2-pangenome	unitigs	13	27.71	168.46	57.48	815%	569056	0	1422808	27.717523
spneumoniae	matchtigs	41	0.18	0.01	0.17	100%	5692	0	4592	0.191628
salmonella_enterica.k32	prophasm	31	156.74	2.06	154.54	99%	3868472	0	301992	156.748931
spneumo-pangenome	prophasm	11	4.47	0.06	4.41	99%	94236	0	6680	4.48385
escherichia_coli.k32	unitigs	19	212.93	617.51	1175.88	842%	1803988	0	16437656	212.937201
sars-cov-2-pangenome	eulertigs	21	4.93	0.11	4.81	99%	288548	0	31344	4.939944
spneumoniae	eulertigs	14	1.15	0.05	1.10	99%	74584	0	5568	1.161246
sars-cov-2-pangenome	greedytigs	14	11.80	0.81	30.70	267%	652588	0	13480	11.805805
yeast	matchtigs	31	0.95	0.00	0.94	100%	14880	0	24208	0.95819
escherichia_coli.k32	prophasm	22	237.08	2.75	234.20	99%	6024556	0	421424	237.090777
neisseria_gonorrhoeae.pangenome.k32	matchtigs	51	3.44	0.06	3.37	99%	172200	0	58736	3.444649
escherichia_coli.k32	matchtigs	31	6671.45	4.22	6668.64	100%	6584876	0	2299992	6671.459157
escherichia_coli.k32	prophasm	16	250.82	3.13	247.14	99%	5577332	16	523784	250.830286
escherichia_coli.k32	matchtigs	20	7067.36	5.04	7066.64	100%	8255304	0	2728016	7067.373008
sars-cov-2-pangenome	prophasm	28	13.74	0.18	13.55	99%	431832	0	43616	13.750507
spneumoniae	unitigs	21	3.90	4.60	14.79	496%	240616	0	200496	3.913178
minikraken4GB	eulertigs	9	0.49	0.02	0.44	95%	29964	0	264	0.496078
yeast	greedytigs	9	0.45	0.03	0.41	99%	53044	0	264	0.457843
spneumoniae	prophasm	15	1.88	0.07	1.80	99%	111432	0	4792	1.890821
escherichia_coli.k32	greedytigs	22	42.58	1.03	47.75	114%	3337740	0	349384	42.593763
salmonella_enterica.k32	unitigs	16	278.42	1582.39	868.22	880%	1497464	0	16002208	278.424063
human	unitigs	51	1871.94	762.02	24858.62	1368%	12445428	1024	317609008	1871.952894
spneumoniae	unitigs	8	2.31	5.39	2.16	327%	192376	0	47648	2.315397
minikraken4GB	prophasm	13	1358.99	4.07	1353.88	99%	1462108	0	70392	1359.003871
spneumo-pangenome	greedytigs	8	0.11	0.00	0.11	113%	17192	0	72	0.115979
spneumoniae	matchtigs	21	0.22	0.01	0.21	101%	8428	0	5064	0.23017
streptococcus_pneumoniae-large	unitigs	12	100.19	736.08	195.30	929%	1097892	0	6523984	100.201063
streptococcus_pneumoniae-large	prophasm	16	112.61	2.78	109.76	99%	2748264	0	214040	112.618035
sars-cov-2-pangenome	eulertigs	12	9.89	0.49	9.33	99%	485076	0	15400	9.902003
streptococcus_pneumoniae-large	greedytigs	13	4963.01	23.70	12375.29	249%	8846084	0	51536	4963.014959
human	matchtigs	9	0.37	0.01	0.36	99%	51052	0	280	0.382447
streptococcus_pneumoniae-large	unitigs	9	6.75	11.36	20.91	478%	1226796	0	665296	6.754351
spneumoniae.matchtigs	eulertigs	16	0.24	0.01	0.22	98%	13896	0	4384	0.247584
escherichia_coli.k32	greedytigs	14	17691.59	175.14	31326.47	178%	24511520	0	166856	17691.596711
sars-cov-2-pangenome	eulertigs	15	5.19	0.26	4.89	99%	323052	0	23024	5.197848
escherichia_coli.k32	prophasm	10	33.31	0.09	33.19	99%	45176	0	1136	33.323491
salmonella_enterica.k32	unitigs	23	115.02	302.36	641.09	820%	1277140	0	9570592	115.028014
spneumoniae	prophasm	13	1.88	0.03	1.85	99%	105980	0	7304	1.888054
yeast	prophasm	18	12.79	0.17	12.60	99%	475904	0	23656	12.83429
neisseria_gonorrhoeae.pangenome.k32	unitigs	13	140.21	1121.98	276.26	997%	907512	0	7935280	140.221395
spneumo-pangenome	greedytigs	22	3.28	0.13	3.15	100%	241000	0	21656	3.288645
spneumo-pangenome	prophasm	13	11.96	0.53	11.41	99%	227288	0	28320	11.970248
spneumoniae	eulertigs	19	0.16	0.01	0.14	97%	5340	0	4248	0.169756
escherichia_coli.k32	matchtigs	41	53.95	9.90	34.70	82%	3047408	0	540424	53.961594
spneumoniae	eulertigs	25	0.20	0.00	0.20	99%	4764	0	4256	0.209745
spneumoniae	matchtigs	29	0.21	0.00	0.21	101%	7152	0	4960	0.217439
spneumoniae	greedytigs	14	1.49	0.05	1.44	100%	127676	0	4208	1.494351
yeast	greedytigs	16	3.99	0.11	3.86	99%	299196	0	22584	4.000425
yeast	greedytigs	28	0.82	0.02	0.80	100%	12384	0	22728	0.831271
yeast	prophasm	7	0.34	0.00	0.34	100%	23464	0	24	0.353483
yeast	matchtigs	21	1.93	0.04	1.91	101%	74976	0	37168	1.937993
spneumo-pangenome	unitigs	15	22.18	89.46	69.35	715%	616868	0	1291248	22.192248
spneumoniae	unitigs	18	4.05	4.12	15.54	484%	255400	0	211192	4.063235
minikraken4GB	prophasm	8	277.90	3.14	274.56	99%	24264	1512	80	277.908865
streptococcus_pneumoniae-large	greedytigs	61	9.64	0.25	9.38	99%	518132	0	159040	9.652588
human	eulertigs	51	311.78	4.64	306.97	99%	5310360	600	5831608	311.791491
yeast	eulertigs	31	0.96	0.01	0.93	99%	9416	0	22864	0.964271
yeast	matchtigs	41	0.92	0.01	0.86	95%	12468	424	23736	0.924089
sars-cov-2-pangenome	prophasm	21	11.06	0.11	10.93	99%	343964	0	32040	11.06447
yeast	matchtigs	23	1.60	0.07	1.54	100%	36076	0	29832	1.609883
sars-cov-2-pangenome	greedytigs	51	2.73	0.13	2.58	99%	193784	0	37664	2.739425
streptococcus_pneumoniae-large	eulertigs	21	15.63	0.43	15.17	99%	722236	0	161512	15.641858
neisseria_gonorrhoeae.pangenome.k32	greedytigs	61	3.16	0.08	3.07	99%	104836	0	54264	3.168557
yeast	eulertigs	28	1.01	0.01	0.99	99%	9696	0	22848	1.015548
spneumo-pangenome	eulertigs	21	3.04	0.13	2.90	99%	155596	0	24224	3.044625
salmonella_enterica.k32	prophasm	23	135.47	1.61	133.78	99%	3484268	0	263256	135.475388
salmonella_enterica.k32	eulertigs	8	0.60	0.00	0.08	14%	9656	0	72	0.60613
salmonella_enterica.k32	eulertigs	17	44.98	0.86	44.06	99%	2644012	0	253880	44.986947
spneumo-pangenome	eulertigs	23	3.26	0.11	3.14	99%	157568	0	25832	3.273479
spneumoniae	eulertigs	21	0.18	0.01	0.17	98%	4824	0	4248	0.188473
salmonella_enterica.k32	prophasm	12	92.68	0.53	92.10	99%	367828	0	22264	92.685921
neisseria_gonorrhoeae.pangenome.k32	unitigs	51	20.48	10.05	182.92	942%	2369724	23416	2210304	20.488395
escherichia_coli.k32	greedytigs	9	2.12	0.02	0.39	19%	48784	0	264	2.124844
spneumo-pangenome	unitigs	14	33.22	201.84	81.36	852%	635644	0	1745696	33.228358
spneumo-pangenome	matchtigs	23	152.51	0.31	152.85	100%	442384	0	133640	152.516437
minikraken4GB	greedytigs	11	8.07	0.28	7.52	96%	732880	3168	4104	8.081404
spneumo-pangenome	greedytigs	30	3.00	0.07	2.97	101%	234204	0	25472	3.008604
streptococcus_pneumoniae-large	eulertigs	9	2.15	0.03	0.37	19%	30256	0	264	2.158094
escherichia_coli.k32	greedytigs	16	198.23	4.40	372.53	190%	15632020	0	297112	198.242416
spneumo-pangenome	greedytigs	28	3.09	0.07	3.01	99%	234304	0	24592	3.10253
neisseria_gonorrhoeae.pangenome.k32	prophasm	21	34.09	0.53	33.52	99%	1355204	0	56464	34.1017
streptococcus_pneumoniae-large	greedytigs	12	241.53	2.00	1279.71	530%	3618172	0	16752	241.539221
yeast	unitigs	14	58.10	397.82	139.74	925%	712312	0	3149520	58.107455
yeast	matchtigs	27	1.01	0.03	0.98	100%	20000	0	25176	1.020692
spneumoniae	greedytigs	11	29.51	0.47	56.14	191%	354896	0	2520	29.518793
spneumoniae	unitigs	51	11.58	12.58	23.57	312%	795096	0	251864	11.585385
sars-cov-2-pangenome	matchtigs	41	2.80	0.13	2.67	100%	293984	0	42592	2.811757
neisseria_gonorrhoeae.pangenome.k32	matchtigs	61	3.18	0.08	3.10	99%	126884	0	54280	3.193995
salmonella_enterica.k32	eulertigs	12	34.22	0.73	31.23	93%	1630060	0	21560	34.224172
spneumo-pangenome	greedytigs	10	45.77	0.24	60.29	132%	189772	0	1048	45.778806
escherichia_coli.k32	unitigs	23	197.18	164.46	1103.13	642%	1718360	0	15796136	197.188481
yeast	prophasm	21	12.99	0.20	12.78	99%	477420	0	23240	12.999354
escherichia_coli.k32	greedytigs	17	98.31	2.36	129.59	134%	8495272	0	313848	98.323964
sars-cov-2-pangenome	greedytigs	31	9.72	0.50	18.85	199%	492004	0	35536	9.726764
escherichia_coli.k32	eulertigs	8	0.08	0.00	0.08	98%	9656	0	72	0.092988
yeast	unitigs	23	10.76	11.38	69.01	746%	607188	0	1026520	10.769036
sars-cov-2-pangenome	eulertigs	10	1.73	0.09	1.62	99%	104288	0	1448	1.74233
neisseria_gonorrhoeae.pangenome.k32	greedytigs	10	5.64	0.10	6.28	113%	222060	0	1032	5.646439
spneumoniae	unitigs	30	15.17	12.47	17.73	199%	750832	0	198816	15.17789
yeast	eulertigs	41	1.00	0.01	0.99	99%	8420	0	22920	1.013726
escherichia_coli.k32	greedytigs	41	34.59	0.97	33.90	100%	2670696	0	540416	34.596634
streptococcus_pneumoniae-large	greedytigs	41	13.16	0.40	12.75	99%	902928	0	209648	13.165846
spneumoniae	unitigs	27	14.73	12.02	18.75	208%	754116	0	205408	14.741034
escherichia_coli.k32	eulertigs	22	44.95	0.85	43.96	99%	2212228	0	413256	44.954984
spneumo-pangenome	eulertigs	14	8.63	0.40	8.16	99%	551760	0	27040	8.635797
yeast	matchtigs	22	1.31	0.05	1.27	101%	45820	0	31984	1.315317
spneumo-pangenome	eulertigs	16	4.52	0.27	4.23	99%	224584	0	22816	4.533772
escherichia_coli.k32	eulertigs	15	272.83	6.45	263.72	99%	14573132	0	560944	272.842063
sars-cov-2-pangenome	unitigs	15	19.51	104.83	52.62	806%	597600	0	1069968	19.518589
salmonella_enterica.k32	eulertigs	19	29.40	0.75	28.60	99%	1614424	0	241256	29.406152
escherichia_coli.k32	eulertigs	31	47.58	0.91	46.57	99%	2048684	0	482408	47.58527
salmonella_enterica.k32	greedytigs	8	0.11	0.01	0.11	113%	17292	0	72	0.117998
sars-cov-2-pangenome	eulertigs	19	4.79	0.12	4.66	99%	286552	0	28368	4.79996
salmonella_enterica.k32	eulertigs	18	31.84	0.65	31.15	99%	1804300	0	234424	31.847505
streptococcus_pneumoniae-large	unitigs	8	5.46	5.36	18.16	430%	1315960	0	612480	5.46499
spneumoniae	unitigs	26	22.30	19.27	19.15	172%	753456	3648	208048	22.309526
minikraken4GB	unitigs	20	10665.04	58791.79	38104.24	908%	24208108	81589944	549380560	10665.083102
sars-cov-2-pangenome	unitigs	21	18.87	37.24	64.10	536%	650652	0	1139096	18.881234
spneumoniae	matchtigs	30	0.21	0.02	0.18	101%	7296	0	4896	0.214306
spneumoniae	eulertigs	61	0.19	0.00	0.19	100%	3992	0	4296	0.19846
streptococcus_pneumoniae-large	unitigs	22	73.97	128.30	427.10	750%	1259076	0	6666896	73.977376
escherichia_coli.k32	unitigs	41	114.57	186.50	1049.27	1078%	3042836	0	14276280	114.580858
yeast	prophasm	26	13.29	0.17	13.10	99%	478524	0	23232	13.296807
minikraken4GB	unitigs	13	542.26	3749.13	1792.55	1021%	6525200	24295080	51651952	542.273588
spneumoniae	matchtigs	61	0.23	0.00	0.19	84%	4888	48	4408	0.239463
spneumoniae	unitigs	17	4.41	4.98	16.41	484%	250672	0	218376	4.418005
spneumoniae	matchtigs	31	0.25	0.03	0.22	100%	7360	0	4864	0.262424
spneumo-pangenome	greedytigs	14	12.20	0.41	18.93	158%	924568	0	16424	12.204011
minikraken4GB	eulertigs	15	2697.05	61.27	2349.75	89%	103199924	3392	1656048	2697.056571
escherichia_coli.k32	greedytigs	51	28.74	0.82	28.03	100%	1962008	0	451976	28.75371
escherichia_coli.k32	unitigs	11	35.71	212.53	98.17	870%	2343788	0	2886520	35.71501
neisseria_gonorrhoeae.pangenome.k32	unitigs	18	28.51	43.87	167.33	740%	741792	0	2521784	28.516963
minikraken4GB	prophasm	21	9331.37	928.67	8373.67	99%	120545072	10744488	21879344	9331.375904
yeast	eulertigs	26	1.03	0.02	1.00	99%	10432	0	22848	1.042175
sars-cov-2-pangenome	eulertigs	61	2.36	0.24	1.91	91%	78608	0	24208	2.363998
escherichia_coli.k32	eulertigs	20	45.60	0.85	44.66	99%	2384216	0	401840	45.60895
yeast	eulertigs	29	1.06	0.01	1.05	99%	9636	0	22856	1.070091
sars-cov-2-pangenome	prophasm	27	13.32	0.19	13.12	99%	419088	0	41824	13.329146
salmonella_enterica.k32	eulertigs	51	17.17	0.56	16.59	99%	958052	0	277304	17.175307
